method,seed,corruption_type,level,mAP50_all,AP_head,AP_helmet,precision,recall
YOLOv8n_seed0,0,clean,0,0.9426933074288232,0.6102892827442026,0.6463815976802311,0.9286049006435042,0.8949278613368636
YOLOv8s_seed0,0,clean,0,0.9457633894941312,0.6147513499711835,0.6517070795410276,0.9351419799743173,0.8992940585199622
FasterRCNN_seed0,0.889314979691741,0.6384369552576432,0.9353053841222914,4699,0.8862004034124592,0.8924295559710227
WBF_yolov8n_yolov8s,0.0,0.0,0.0,4699,0.0,0.0
WBF_yolov8n_yolov8s_frcnn,0.0,0.0,0.0,4699,0.0,0.0
WBF_yolov8n_yolov8s,0.0,0.0,0.0,4699,0.0,0.0
WBF_yolov8n_yolov8s_frcnn,0.0,0.0,0.0,4699,0.0,0.0
WBF_yolov8n_yolov8s,0.0,0.0,0.0,4699,0.0,0.0
WBF_yolov8n_yolov8s_frcnn,0.0,0.0,0.0,4699,0.0,0.0
YOLOv8n_seed0,0.004552476781749748,0.07451880723237991,0.08980634177484571,4699,0.0,0.009104953563499496
YOLOv8s_seed0,0.0032491925414157574,0.06991074979305267,0.07001489678655033,4699,0.0,0.006498385082831515
FasterRCNN_seed0,0.9232137995579103,0.652963399887085,0.9565865077676101,4699,0.8993229674649716,0.9471046316508489
YOLOv8n_seed0_clean,0.9011399006071494,0.8958290815353394,0.9278569908491169,4699,0.8753303007796855,0.9269495004346133
YOLOv8s_seed0_clean,0.9092832835789704,0.89711594581604,0.9333900829963823,4699,0.8852883762552661,0.9332781909026746
WBF_yolov8n_yolov8s_clean,0.9216423918904049,0.8738951086997986,0.9467971908916791,4699,0.8973442053515263,0.9459405784292834
WBF_yolov8n_yolov8s_frcnn_clean,0.9213630699043307,0.8738951086997986,0.9467971908916791,4699,0.897615289625219,0.9451108501834424
MajorityVote_n_s_frcnn_clean,0.8904194681152708,0.9357298612594604,0.9140242604809534,4699,0.865194442608567,0.9156444936219748
